datetime;cartPos;cartVel;pendPos;pendVel;action;cartController;exploration
2018-05-26 10:23:18.060;207,56;-2,41;202;6;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.080;192,44;-15,12;208;6;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.100;187,97;-4,47;214;6;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.120;181,79;-6,18;220;6;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.140;165,98;-15,81;224;4;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.161;165,98;0,00;229;5;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.180;148,80;-17,18;232;3;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.200;129,55;-19,25;234;2;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.220;109,97;-19,58;234;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.240;107,22;-2,75;233;-1;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.260;106,87;-0,35;230;-3;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.280;102,06;-4,81;226;-4;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.300;102,06;0,00;221;-5;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.320;102,06;0,00;216;-5;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.340;102,06;0,00;209;-7;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.360;108,25;6,19;200;-9;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.380;109,97;1,72;191;-9;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.400;112,03;2,06;181;-10;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.420;119,24;7,21;170;-11;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.440;139,18;19,94;159;-11;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.460;151,89;12,71;150;-9;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.480;165,29;13,40;140;-10;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.500;170,45;5,16;131;-9;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.520;183,85;13,40;123;-8;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.540;206,19;22,34;117;-6;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.559;219,24;13,05;112;-5;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.579;227,84;8,60;107;-5;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.599;244,67;16,83;103;-4;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.619;257,73;13,06;101;-2;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.639;271,48;13,75;100;-1;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.659;280,41;8,93;100;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.679;293,81;13,40;102;2;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.699;304,12;10,31;105;3;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.719;306,87;2,75;109;4;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.739;311,00;4,13;114;5;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.759;312,37;1,37;120;6;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.779;312,37;0,00;128;8;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.799;312,37;0,00;136;8;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.819;314,43;2,06;145;9;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.839;314,43;0,00;155;10;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.859;313,06;-1,37;165;10;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.879;312,03;-1,03;175;10;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.899;307,90;-4,13;185;10;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.919;312,03;4,13;197;12;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.939;312,03;0,00;209;12;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.959;312,03;0,00;221;12;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.979;303,44;-8,59;232;11;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.999;295,53;-7,91;242;10;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.019;286,25;-9,28;252;10;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.039;280,07;-6,18;261;9;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.059;260,14;-19,93;267;6;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.079;247,77;-12,37;273;6;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.099;235,05;-12,72;278;5;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.119;226,46;-8,59;282;4;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.139;208,93;-17,53;285;3;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.159;206,53;-2,40;287;2;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.179;194,85;-11,68;288;1;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.199;191,07;-3,78;288;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.219;188,32;-2,75;287;-1;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.239;183,85;-4,47;285;-2;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.259;183,85;0,00;282;-3;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.278;189,00;5,15;278;-4;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.298;193,13;4,13;273;-5;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.318;193,47;0,34;266;-7;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.338;193,47;0,00;260;-6;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.358;193,47;0,00;251;-9;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.378;193,47;0,00;241;-10;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.398;193,81;0,34;231;-10;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.418;194,16;0,35;219;-12;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.438;194,16;0,00;207;-12;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.458;194,50;0,34;193;-14;0,70;CartControllerGamepadPID;0
